depth,Number_Trees,Learning Rate,Accuracy
1,10,0.2,0.9155844155844156
1,10,0.4,0.9155844155844156
1,10,0.6,0.9155844155844156
1,10,0.8,0.9150849150849151
1,10,1.0,0.9235764235764236
1,20,0.2,0.9155844155844156
1,20,0.4,0.9155844155844156
1,20,0.6,0.9215784215784216
1,20,0.8,0.9235764235764236
1,20,1.0,0.9315684315684316
1,30,0.2,0.9155844155844156
1,30,0.4,0.9155844155844156
1,30,0.6,0.9240759240759241
1,30,0.8,0.9333166833166833
1,30,1.0,0.9330669330669331
1,40,0.2,0.9155844155844156
1,40,0.4,0.9180819180819181
1,40,0.6,0.9238261738261738
1,40,0.8,0.9340659340659341
1,40,1.0,0.9345654345654346
1,50,0.2,0.9155844155844156
1,50,0.4,0.9205794205794205
1,50,0.6,0.9338161838161838
1,50,0.8,0.9340659340659341
1,50,1.0,0.9335664335664335
1,60,0.2,0.9155844155844156
1,60,0.4,0.9285714285714286
1,60,0.6,0.9363136863136863
1,60,0.8,0.9383116883116883
1,60,1.0,0.9378121878121878
1,70,0.2,0.9155844155844156
1,70,0.4,0.9283216783216783
1,70,0.6,0.9383116883116883
1,70,0.8,0.9378121878121878
1,70,1.0,0.9383116883116883
1,80,0.2,0.9180819180819181
1,80,0.4,0.9363136863136863
1,80,0.6,0.9383116883116883
1,80,0.8,0.9378121878121878
1,80,1.0,0.939060939060939
1,90,0.2,0.9180819180819181
1,90,0.4,0.9383116883116883
1,90,0.6,0.938061938061938
1,90,0.8,0.9408091908091908
1,90,1.0,0.9395604395604396
1,100,0.2,0.9198301698301699
1,100,0.4,0.9383116883116883
1,100,0.6,0.9385614385614386
1,100,0.8,0.9410589410589411
1,100,1.0,0.9393106893106893
2,10,0.2,0.9233266733266733
2,10,0.4,0.9335664335664335
2,10,0.6,0.9345654345654346
2,10,0.8,0.9385614385614386
2,10,1.0,0.9348151848151848
2,20,0.2,0.9363136863136863
2,20,0.4,0.939060939060939
2,20,0.6,0.9408091908091908
2,20,0.8,0.9413086913086913
2,20,1.0,0.9393106893106893
2,30,0.2,0.9388111888111889
2,30,0.4,0.939060939060939
2,30,0.6,0.942057942057942
2,30,0.8,0.9413086913086913
2,30,1.0,0.9408091908091908
2,40,0.2,0.9393106893106893
2,40,0.4,0.9395604395604396
2,40,0.6,0.9410589410589411
2,40,0.8,0.9425574425574426
2,40,1.0,0.945054945054945
2,50,0.2,0.9438061938061938
2,50,0.4,0.9433066933066933
2,50,0.6,0.9440559440559441
2,50,0.8,0.9470529470529471
2,50,1.0,0.9465534465534465
2,60,0.2,0.9443056943056943
2,60,0.4,0.9435564435564435
2,60,0.6,0.9465534465534465
2,60,0.8,0.9465534465534465
2,60,1.0,0.9453046953046953
2,70,0.2,0.9445554445554446
2,70,0.4,0.9458041958041958
2,70,0.6,0.9473026973026973
2,70,0.8,0.9488011988011988
2,70,1.0,0.9493006993006993
2,80,0.2,0.9445554445554446
2,80,0.4,0.9448051948051948
2,80,0.6,0.9488011988011988
2,80,0.8,0.9493006993006993
2,80,1.0,0.9500499500499501
2,90,0.2,0.9448051948051948
2,90,0.4,0.9455544455544456
2,90,0.6,0.9500499500499501
2,90,0.8,0.951048951048951
2,90,1.0,0.9465534465534465
2,100,0.2,0.945054945054945
2,100,0.4,0.9465534465534465
2,100,0.6,0.9505494505494505
2,100,0.8,0.9530469530469531
2,100,1.0,0.9495504495504495
3,10,0.2,0.9388111888111889
3,10,0.4,0.939060939060939
3,10,0.6,0.9423076923076923
3,10,0.8,0.9398101898101898
3,10,1.0,0.9358141858141859
3,20,0.2,0.939060939060939
3,20,0.4,0.9438061938061938
3,20,0.6,0.9443056943056943
3,20,0.8,0.9430569430569431
3,20,1.0,0.9430569430569431
3,30,0.2,0.9430569430569431
3,30,0.4,0.9453046953046953
3,30,0.6,0.9465534465534465
3,30,0.8,0.9470529470529471
3,30,1.0,0.9435564435564435
3,40,0.2,0.9453046953046953
3,40,0.4,0.9493006993006993
3,40,0.6,0.9505494505494505
3,40,0.8,0.9512987012987013
3,40,1.0,0.9512987012987013
3,50,0.2,0.9475524475524476
3,50,0.4,0.954045954045954
3,50,0.6,0.9535464535464535
3,50,0.8,0.9565434565434565
3,50,1.0,0.955044955044955
3,60,0.2,0.949050949050949
3,60,0.4,0.955044955044955
3,60,0.6,0.9595404595404595
3,60,0.8,0.9617882117882118
3,60,1.0,0.9567932067932068
3,70,0.2,0.9507992007992008
3,70,0.4,0.9585414585414586
3,70,0.6,0.9622877122877123
3,70,0.8,0.9635364635364635
3,70,1.0,0.9635364635364635
3,80,0.2,0.9507992007992008
3,80,0.4,0.9605394605394605
3,80,0.6,0.9660339660339661
3,80,0.8,0.9697802197802198
3,80,1.0,0.9652847152847153
3,90,0.2,0.952047952047952
3,90,0.4,0.9637862137862138
3,90,0.6,0.968031968031968
3,90,0.8,0.9697802197802198
3,90,1.0,0.972027972027972
3,100,0.2,0.9555444555444556
3,100,0.4,0.9662837162837162
3,100,0.6,0.971028971028971
3,100,0.8,0.9742757242757243
3,100,1.0,0.9782717282717283
4,10,0.2,0.9435564435564435
4,10,0.4,0.945054945054945
4,10,0.6,0.9465534465534465
4,10,0.8,0.9440559440559441
4,10,1.0,0.945054945054945
4,20,0.2,0.9458041958041958
4,20,0.4,0.951048951048951
4,20,0.6,0.954045954045954
4,20,0.8,0.954045954045954
4,20,1.0,0.957042957042957
4,30,0.2,0.9505494505494505
4,30,0.4,0.9577922077922078
4,30,0.6,0.9637862137862138
4,30,0.8,0.9645354645354646
4,30,1.0,0.9687812187812188
4,40,0.2,0.955044955044955
4,40,0.4,0.9642857142857143
4,40,0.6,0.9697802197802198
4,40,0.8,0.9775224775224776
4,40,1.0,0.9732767232767233
4,50,0.2,0.9582917082917083
4,50,0.4,0.9707792207792207
4,50,0.6,0.9737762237762237
4,50,0.8,0.9827672327672328
4,50,1.0,0.9805194805194806
4,60,0.2,0.9622877122877123
4,60,0.4,0.978021978021978
4,60,0.6,0.9787712287712288
4,60,0.8,0.9845154845154845
4,60,1.0,0.9837662337662337
4,70,0.2,0.9655344655344655
4,70,0.4,0.9815184815184815
4,70,0.6,0.9837662337662337
4,70,0.8,0.9865134865134865
4,70,1.0,0.988011988011988
4,80,0.2,0.9687812187812188
4,80,0.4,0.983016983016983
4,80,0.6,0.9845154845154845
4,80,0.8,0.9882617382617382
4,80,1.0,0.9877622377622378
4,90,0.2,0.9742757242757243
4,90,0.4,0.986013986013986
4,90,0.6,0.987012987012987
4,90,0.8,0.9882617382617382
4,90,1.0,0.9862637362637363
4,100,0.2,0.9777722277722277
4,100,0.4,0.9895104895104895
4,100,0.6,0.9895104895104895
4,100,0.8,0.99000999000999
4,100,1.0,0.9855144855144855
