Model,Accuracy,Precision,Recall,F1,AUC
MLP_BP_PHQ_9_v1,0.9630369630369631,0.805111821086262,0.7433628318584071,0.7730061349693252,0.9713039313927891
MLP_MH_PHQ_S_v1,0.9178180513188587,0.883289124668435,0.7931269139162981,0.8357834349229115,0.9591046539786096
MLP_BP_PHQ_9_v2,0.5912408759124088,0.5879158180583842,0.9897142857142858,0.737649063032368,0.5124629294755878
MLP_MH_PHQ_S_v2,0.9328199681359532,0.9387755102040817,0.9581356980820788,0.9483568075117371,0.9749633105396082
AdaBoost_BP_PHQ_9_v1,0.99000999000999,0.9542682926829268,0.9260355029585798,0.93993993993994,0.9728772633216798
AdaBoost_MH_PHQ_S_v1,0.9855144855144855,0.9046242774566474,0.9260355029585798,0.915204678362573,0.9751216197458171
AdaBoost_BP_PHQ_9_v2,0.9794293297942933,0.9707943925233645,0.992831541218638,0.9816893089190787,0.9952994882219726
AdaBoost_MH_PHQ_S_v2,0.9714664897146649,0.9573732718894009,0.992831541218638,0.9747800586510265,0.9904902013231335
