depth,Number_Trees,Learning Rate,Accuracy
1,50,0.3,0.6534784917684546
1,50,0.6,0.6702071163037706
1,50,1.0,0.6806956983536909
1,60,0.3,0.6558682952734998
1,60,0.6,0.6721986192246415
1,60,1.0,0.6797663303239512
1,70,0.3,0.6601168348380244
1,70,0.6,0.6769782262347318
1,70,1.0,0.6821561338289963
1,80,0.3,0.6663568773234201
1,80,0.6,0.6798990971853426
1,80,1.0,0.6895910780669146
1,90,0.3,0.668348380244291
1,90,0.6,0.6845459373340415
1,90,1.0,0.6929102496016994
1,100,0.3,0.6720658523632501
1,100,0.6,0.6836165693043016
1,100,1.0,0.6886617100371747
2,50,0.3,0.7039298990971854
2,50,0.6,0.7201274561869357
2,50,1.0,0.7214551248008497
2,60,0.3,0.7118959107806692
2,60,0.6,0.7274296335634626
2,60,1.0,0.7399097185342538
2,70,0.3,0.7168082846521509
2,70,0.6,0.7312798725438131
2,70,1.0,0.7432288900690388
2,80,0.3,0.718534253850239
2,80,0.6,0.7379182156133829
2,80,1.0,0.747344662772172
2,90,0.3,0.7210568242166755
2,90,0.6,0.7411046202867764
2,90,1.0,0.7492033988316517
2,100,0.3,0.7251725969198088
2,100,0.6,0.7484067976633032
2,100,1.0,0.7587626128518322
3,50,0.3,0.7352628783855549
3,50,0.6,0.7766861391396708
3,50,1.0,0.7819968135953266
3,60,0.3,0.7449548592671269
3,60,0.6,0.7879713223579394
3,60,1.0,0.7908921933085502
3,70,0.3,0.758364312267658
3,70,0.6,0.7958045671800319
3,70,1.0,0.7980616038236856
3,80,0.3,0.7679235262878386
3,80,0.6,0.8037705788635157
3,80,1.0,0.8029739776951673
3,90,0.3,0.7773499734466277
3,90,0.6,0.8118693574083908
3,90,1.0,0.8222251725969199
3,100,0.3,0.7850504514073288
3,100,0.6,0.8165161975570897
3,100,1.0,0.8276686139139671
4,50,0.3,0.7942113648433351
4,50,0.6,0.8258098778544876
4,50,1.0,0.838688263409453
4,60,0.3,0.8039033457249071
4,60,0.6,0.8424057355284121
4,60,1.0,0.8494423791821561
4,70,0.3,0.814259160913436
4,70,0.6,0.8475836431226765
4,70,1.0,0.8627190653212958
4,80,0.3,0.821959638874137
4,80,0.6,0.8544875199150292
4,80,1.0,0.8718799787573022
4,90,0.3,0.8323154540626659
4,90,0.6,0.8674986723313861
4,90,1.0,0.8831651619755709
4,100,0.3,0.8382899628252788
4,100,0.6,0.8741370154009559
4,100,1.0,0.887546468401487
